gemeente,pop_total,hh_total,pon_dealers,total_dealers,pon_share,dealers_per_100k,pon_dealers_per_100k,coverage_category,market_size_score,kids_0_15_pct,age_25_44_pct,income_norm,density_norm,cluster
Hunsel,965.0,440.0,0,1,0.0,103.62694300518135,0.0,Underserved,0.001538633247233649,0.11917098445595854,0.20207253886010362,0.17118226600985223,0.009950671882973295,4
Hurdegaryp,5020.0,2250.0,1,1,1.0,19.9203187250996,19.9203187250996,High_Coverage,0.008004081762811314,0.15239043824701196,0.21912350597609562,0.0960591133004926,0.04992345637013097,1
IJlst,3005.0,1335.0,1,1,1.0,33.277870216306155,33.277870216306155,High_Coverage,0.004791287987499601,0.1497504159733777,0.1913477537437604,0.12623152709359606,0.03521006973975166,1
IJmuiden,14140.0,6905.0,2,4,0.5,28.28854314002829,14.144271570014144,High_Coverage,0.022545361778117924,0.14890900548417657,0.2864112118656235,0.10775862068965517,0.25229630889607074,2
IJsselmuiden,12675.0,4645.0,1,2,0.5,15.779092702169624,7.889546351084812,High_Coverage,0.020209509231799483,0.2039447731755424,0.22840236686390533,0.16625615763546797,0.0858989624085729,0
IJsselstein,12200.0,5355.0,1,3,0.3333333333333333,24.59016393442623,8.19672131147541,High_Coverage,0.01945215089766893,0.14262295081967213,0.20573770491803278,0.19766009852216748,0.17383908828031977,1
Jellum,145.0,60.0,0,1,0.0,689.6551724137931,0.0,Underserved,0.00023119359673458975,0.10344827586206896,0.10344827586206896,0.2044334975369458,0.002891648239496513,4
Joure,9705.0,4625.0,2,3,0.6666666666666666,30.91190108191654,20.607934054611025,High_Coverage,0.015474026595235817,0.13601236476043277,0.2158681092220505,0.10036945812807882,0.0984010886205137,2
Jubbega,3260.0,1400.0,0,1,0.0,30.67484662576687,0.0,Underserved,0.005197869830032845,0.1549079754601227,0.21625766871165644,0.1330049261083744,0.01615921075012757,1
Julianadorp,3220.0,1155.0,1,1,1.0,31.055900621118013,31.055900621118013,High_Coverage,0.005134092286106062,0.15527950310559005,0.2546583850931677,0.1564039408866995,0.055281510460962746,1
Kaatsheuvel,14100.0,6145.0,1,3,0.3333333333333333,21.27659574468085,7.092198581560283,High_Coverage,0.02248158423419114,0.14432624113475176,0.22907801418439716,0.15948275862068967,0.1085218574587515,1
Kampen,20345.0,9125.0,3,6,0.5,29.491275497665274,14.745637748832637,High_Coverage,0.0324388532797602,0.18045475886678525,0.2862346750120394,0.13408251231527094,0.1326756251063106,0
Kamperland,2180.0,1045.0,1,2,0.5,91.74311926605505,45.87155963302752,High_Coverage,0.003475876144009694,0.12155963302752294,0.17889908256880735,0.17426108374384236,0.018455519646198335,4
Kapelle,9410.0,3835.0,1,2,0.5,21.253985122210416,10.626992561105208,High_Coverage,0.01500366720877579,0.179596174282678,0.22210414452709884,0.14963054187192118,0.06582752168736179,1
Katwijk aan Zee,43200.0,17925.0,4,5,0.8,11.574074074074074,9.25925925925926,High_Coverage,0.06887974744092605,0.1736969256722023,0.24199738298257287,0.18703817733990147,0.19812042864432727,1
Keijenborg,1435.0,620.0,0,1,0.0,69.68641114982579,0.0,Underserved,0.002288019388373354,0.12195121951219512,0.1951219512195122,0.1834975369458128,0.01547882292906957,4
Kerkdriel,8230.0,3600.0,1,1,1.0,12.150668286755772,12.150668286755772,High_Coverage,0.013122229662935681,0.1543134872417983,0.25394896719319565,0.1748768472906404,0.06540227929920055,1
Kerkrade,7745.0,3990.0,0,1,0.0,12.91155584247902,0.0,Underserved,0.012348926942823432,0.12395093608779859,0.22143318269851517,0.06280788177339902,0.13327096444973635,2
Kesteren,7150.0,2630.0,0,1,0.0,13.986013986013987,0.0,Underserved,0.01140023597691253,0.23216783216783216,0.24825174825174826,0.1687192118226601,0.04660656574247321,0
Kiel-Windeweer,855.0,385.0,0,1,0.0,116.95906432748538,0.0,Underserved,0.0013632450014349948,0.10526315789473684,0.19298245614035087,0.11514778325123153,0.0034019391052900155,4
Klaaswaal,4155.0,1765.0,1,1,1.0,24.067388688327316,24.067388688327316,High_Coverage,0.006624892375394624,0.15643802647412755,0.21540312876052947,0.15886699507389163,0.036400748426603166,1
Klarenbeek,1780.0,715.0,2,2,1.0,112.35955056179776,112.35955056179776,High_Coverage,0.0028381007047418604,0.13764044943820225,0.20224719101123595,0.26539408866995073,0.010631059704031299,4
Klazienaveen,11885.0,5215.0,1,2,0.5,16.827934371055953,8.413967185527977,High_Coverage,0.018949902739245513,0.14850652082456878,0.22170803533866218,0.08620689655172414,0.07237625446504507,1
Klimmen,3275.0,1455.0,0,1,0.0,30.53435114503817,0.0,Underserved,0.005221786409005389,0.14198473282442747,0.18778625954198475,0.15948275862068967,0.025429494812042864,4
Kloosterhaar,1530.0,610.0,0,1,0.0,65.359477124183,0.0,Underserved,0.002439491055199464,0.16666666666666666,0.24509803921568626,0.12438423645320197,0.011821738390882804,1
Kloosterzande,3190.0,1460.0,1,1,1.0,31.347962382445143,31.347962382445143,High_Coverage,0.005086259128160974,0.13479623824451412,0.21316614420062696,0.0917487684729064,0.036400748426603166,1
