name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Bike Service Eijsden V.O.F.,giant,www.bikeserviceeijsden.com,ChIJh-CAJ6HuwEcRisDPkm-vn8k,84,Wilhelminastraat,Netherlands,6245 AX,Bike Service Eijsden,"Wilhelminastraat 84, 6245 AX Eijsden, Netherlands",4.5,23,50.7730440,5.7087120,https://www.google.com/maps/place/?q=place_id:ChIJh-CAJ6HuwEcRisDPkm-vn8k
Bike Totaal Jos van Hees,giant,www.josvanhees.nl,ChIJ5aFaAQCgx0cRVa7rSSoLQXE,156,Heerbaan,Netherlands,6566 EV,Bike Total Jos van Hees,"Heerbaan 156, 6566 EV Millingen aan de Rijn, Netherlands",4.2,25,51.8640668,6.0472996,https://www.google.com/maps/place/?q=place_id:ChIJ5aFaAQCgx0cRVa7rSSoLQXE
Hans Lemmens Tweewielers Cuijk B.V.,giant,www.hanslemmenstweewielers.nl,ChIJJ5D86EsOx0cRjYA5LwUFeMU,17,Gildekamp,Netherlands,5431 SP,Hans Lemmens Tweewielers,"Gildekamp 17, 5431 SP Cuijk, Netherlands",4.8,183,51.7310806,5.8637810,https://www.google.com/maps/place/?q=place_id:ChIJJ5D86EsOx0cRjYA5LwUFeMU
Van Helden Tweewielers,giant,www.helden2w.nl,ChIJeQEDdxuPxkcR8OBUNnQ43hc,1,Nijverheidstraat,Netherlands,4283 GW,Van Helden Tweewielers,"Nijverheidstraat 1, 4283 GW Giessen, Netherlands",4.7,45,51.7849349,5.0342562,https://www.google.com/maps/place/?q=place_id:ChIJeQEDdxuPxkcR8OBUNnQ43hc
De Fietsmaker,giant,www.defietsmaker.nl,ChIJ77WXXikCx0cRHW3J84mqXmw,12A,Kolonel Wilsstraat,Netherlands,5371 AG,De Fietsmaker,"Kolonel Wilsstraat 12A, 5371 AG Ravenstein, Netherlands",5.0,36,51.7969423,5.6536312,https://www.google.com/maps/place/?q=place_id:ChIJ77WXXikCx0cRHW3J84mqXmw
Scholten Cycling,giant,www.scholten-cycling.nl,ChIJH0HJHxPjt0cRUSmFEEgzM0w,39,Kleine Veld,Netherlands,7751 BG,Scholten Cycling,"Kleine Veld 39, 7751 BG Dalen, Netherlands",4.4,58,52.7111682,6.7585138,https://www.google.com/maps/place/?q=place_id:ChIJH0HJHxPjt0cRUSmFEEgzM0w
Logt Tweewielers,giant,www.logt-tweewielers.nl,ChIJ6XepuPDCx0cREq5-3YuV3VM,35,Aaldert Geertsstraat,Netherlands,8121 BK,Logt Tweewielers,"Aaldert Geertsstraat 35, 8121 BK Olst, Netherlands",4.8,26,52.3375942,6.1120121,https://www.google.com/maps/place/?q=place_id:ChIJ6XepuPDCx0cREq5-3YuV3VM
Bike Totaal Damhuis Rijwielen,giant,,ChIJYfchxpUVuEcRxngu8_91Tlk,1126,Gronausestraat,Netherlands,7534 AR,Bike Total Rijwielhandel Damhuis,"Gronausestraat 1126, 7534 AR Enschede, Netherlands",4.7,64,52.2153378,6.9706969,https://www.google.com/maps/place/?q=place_id:ChIJYfchxpUVuEcRxngu8_91Tlk
Vos Bikes,giant,www.vosbikes.nl,ChIJ8xdDpoo9uEcRORcF9bFMH-E,14-16,Arendstraat,Netherlands,7581 ET,Vos Bikes & Sports,"Arendstraat 14-16, 7581 ET Losser, Netherlands",4.1,27,52.2561596,7.0107172,https://www.google.com/maps/place/?q=place_id:ChIJ8xdDpoo9uEcRORcF9bFMH-E
BT A. Donker Rijwielpalace BV,giant,www.adonker.nl,ChIJiehKeMvxxUcRlxH2Ezxuhp4,28,Marktplein,Netherlands,1972 GB,Marktplein 28,"Marktplein 28, 1972 GB IJmuiden, Netherlands",,,52.4585734,4.6153068,https://www.google.com/maps/place/?q=place_id:ChIJiehKeMvxxUcRlxH2Ezxuhp4
